iter	Passed	Remaining
0	94	94830
1	97	48582
2	100	33247
3	102	25570
4	105	20963
5	107	17886
6	110	15679
7	112	14007
8	115	12712
9	118	11714
10	121	10888
11	124	10215
12	126	9604
13	129	9095
14	131	8650
15	134	8255
16	137	7950
17	140	7656
18	143	7399
19	145	7145
20	148	6943
21	151	6735
22	154	6546
23	156	6371
24	159	6206
25	162	6073
26	164	5927
27	167	5823
28	170	5714
29	173	5610
30	176	5513
31	178	5409
32	181	5308
33	183	5210
34	185	5115
35	187	5024
36	190	4949
37	192	4872
38	194	4793
39	196	4727
40	200	4693
41	204	4667
42	208	4637
43	212	4618
44	218	4645
45	223	4624
46	226	4592
47	229	4558
48	235	4575
49	239	4552
50	242	4508
51	246	4493
52	250	4483
53	255	4482
54	260	4474
55	265	4470
56	268	4442
57	273	4442
58	278	4442
59	283	4438
60	288	4433
61	291	4413
62	296	4413
63	300	4398
64	307	4420
65	312	4415
66	316	4405
67	322	4416
68	325	4395
69	329	4372
70	333	4357
71	337	4352
72	341	4340
73	345	4329
74	349	4313
75	354	4306
76	359	4307
77	363	4295
78	366	4270
79	368	4241
80	371	4217
81	374	4189
82	377	4168
83	379	4141
84	383	4129
85	386	4108
86	389	4085
87	391	4062
88	394	4035
89	397	4015
90	400	3995
91	403	3984
92	407	3975
93	409	3951
94	412	3929
95	415	3910
96	418	3892
97	421	3880
98	426	3880
99	430	3871
100	434	3869
101	439	3867
102	444	3871
103	449	3874
104	455	3878
105	464	3915
106	468	3912
107	473	3908
108	477	3906
109	481	3894
110	490	3925
111	495	3928
112	500	3925
113	504	3924
114	509	3919
115	514	3920
116	519	3919
117	523	3912
118	529	3916
119	532	3904
120	536	3894
121	540	3888
122	544	3882
123	548	3876
124	554	3879
125	559	3882
126	562	3869
127	565	3855
128	569	3848
129	573	3838
130	576	3823
131	578	3807
132	581	3792
133	584	3775
134	586	3759
135	589	3742
136	591	3726
137	594	3711
138	596	3697
139	600	3688
140	605	3686
141	608	3676
142	611	3664
143	614	3653
144	617	3642
145	621	3633
146	625	3628
147	639	3680
148	643	3674
149	647	3671
150	652	3667
151	657	3667
152	661	3663
153	666	3659
154	670	3657
155	675	3654
156	680	3652
157	685	3650
158	691	3655
159	695	3652
160	700	3649
161	706	3652
162	711	3653
163	715	3649
164	720	3644
165	725	3644
166	729	3638
167	734	3637
168	739	3636
169	743	3628
170	747	3623
171	751	3616
172	755	3609
173	758	3598
174	761	3591
175	765	3582
176	768	3571
177	771	3563
178	775	3555
179	778	3545
180	781	3536
181	784	3527
182	789	3525
183	794	3522
184	799	3520
185	804	3519
186	808	3515
187	813	3512
188	818	3511
189	822	3508
190	827	3504
191	831	3498
192	834	3489
193	838	3484
194	843	3482
195	848	3480
196	851	3470
197	853	3459
198	857	3450
199	860	3440
200	862	3428
201	864	3416
202	869	3413
203	872	3404
204	875	3393
205	877	3382
206	880	3372
207	885	3370
208	887	3360
209	890	3350
210	894	3346
211	899	3343
212	901	3330
213	903	3319
214	906	3309
215	908	3298
216	910	3286
217	912	3274
218	918	3276
219	920	3265
220	922	3252
221	924	3240
222	927	3231
223	929	3220
224	932	3211
225	934	3199
226	936	3189
227	939	3179
228	942	3173
229	944	3162
230	947	3154
231	949	3143
232	951	3132
233	953	3120
234	955	3109
235	957	3100
236	959	3090
237	962	3080
238	964	3069
239	966	3059
240	968	3049
241	970	3039
242	972	3029
243	974	3019
244	976	3009
245	978	3000
246	981	2990
247	983	2981
248	985	2972
249	987	2962
250	989	2953
251	991	2944
252	994	2935
253	996	2926
254	998	2916
255	1000	2907
256	1002	2898
257	1004	2889
258	1006	2879
259	1008	2871
260	1010	2861
261	1013	2854
262	1015	2845
263	1017	2837
264	1019	2828
265	1021	2819
266	1023	2811
267	1026	2803
268	1029	2797
269	1032	2790
270	1036	2788
271	1040	2783
272	1044	2781
273	1048	2779
274	1051	2772
275	1054	2766
276	1058	2761
